asin,overall,reviewText,summary,verified,vote
B000S14PFM,5.0,"Good pens, great colors. They go on nicely, on decent paper.
Had one pen that seemed dry from the start, but the rest were fine, so that was probably the exception to the rule.
Be sure you either let the work dry completely, or use a blotter of some kind under your hand, as they are a bit slower to dry than usual.
Very pretty results.",Have fun!,True,
B000S14PFM,5.0,These are really nice. They add dimension and a bright shimmery effect.,Five Stars,True,
B000S14PFM,5.0,"If you haven't tried Gelly Roll pens, you will love them - all varieties",you will love them - all,True,
B000S14PFM,5.0,Im so in love with these wonderful gelly roll pens! The ink flows good and they are like 3D when the pens dries. The longer you keep the pen on paper the thicker the ink gets. They are so much fun to color with. I plan on buying more. I highly recommend these pens.,Gelly Roll Pens-A Great Find & Price,True,
B000S14PFM,5.0,"These are not for dark paper, Use on glossy or light colors. The pen comes with a plastic tip cover, keep this as it will increase the life of your pen nib and ink. Write slowly so the ink will be thicker, the thicker the stroke the more puffy it will turn out.  If you are using more than one color, wait for your first color to dry so they do not bleed together. These pens are amazing quality and worth every penny. I have one set and plan on ordering more for backup when they are all gone. They are easy to use up as the ink needs to come out thick. I recommend these for any crafter, I also recommend ordering 2 at once.",Glazed Perfection.,False,
B000S14PFM,5.0,"Sakura brand never fails me.  The Glaze makes a beautiful effect when dry.  The Glaze looks like colored glass, hard and shiny.  Love these pens for artwork on wood.",The Glaze makes a beautiful effect when dry,True,
B000S14PFM,5.0,As described.,Five Stars,True,
B000S14PFM,5.0,I love these so much!,Five Stars,True,
B000S14PFM,5.0,"Pens were in perfect condition! And as always, sakura perfection!",AWESOME!,True,
B000S14PFM,5.0,"I work with polymer clay and use these pens for adding accent color, outlining areas, adding more depth to leaves, vines and flowers, and they're especially great for Fairy Wings.  I usually use a translucent clay, some sparkle, and after baking I highlight the entire outer edge of the wings and the interior veins.  You have to give it a few coats to get an appreciable raised area but it's worth it; it really makes them pop.  It would be a real pain and take forever to try and achieve the same effect using paints and a brush.","Great effects, Multiple uses",True,2
B000S14PFM,5.0,"Love these pens, will need to get another black, as I ran out of ink on that first...Perfect for highlighting on projects.",Love these pens...,True,
B000S14PFM,5.0,"Love, love, love these  these will be a staple in my craft cart",Five Stars,True,
B000S14PFM,5.0,"Great pens! They come with sealed clear transparent glue so the gel doesn't leak out, so remove this before using the pens. Once it hits paper it's on like donkey kong so don't be slow about it unless you want the bubbled raised look which is a cool effect as well. I tried to use the white color for whiskers but it didn't work so well. They do write over colored pencils but the white one would have to be layered especially over black. Layering white over black looks like a milky white and the more you layer, the more air bubbles in the finished result so be careful layering. I have only tried wax pencils so far. The pen that works for whiskers would be my Sanford signo uniball gel pen. Another note, there are two white gel pens, 1 is white 1 is clear and you can't tell the two apart so I used the black gel pen to place a dot on the top of 1 of them to tell them apart since they aren't labeled.",Great pens! They come with sealed clear transparent glue ...,True,2
B000S14PFM,5.0,These are my favorite gel pens.  I love the glitter ones. I use these when I color in my adult coloring books and they have lasted a really long time.  Great quality!,These are my favorite gel pens,True,
B000S14PFM,4.0,kind of waterery.color fast with them,Four Stars,True,
B000S14PFM,5.0,Bought this as a gift set she loves it.,Five Stars,True,
B000S14PFM,5.0,"Love these pens. They deliver beautiful and vibrant color on the darkest of papers. Perfectly opaque, fun color assortment. Definitely my go-to utility pens",Love these pens,True,
B000S14PFM,4.0,"I just started using these for accents or outlines in adult coloring books, and I love them! I took away one star because the do flow quickly and take a while to get used to using. And you definitely want to wait at least 5 minutes for it to dry. I let it dry while I color in another book, so I don't get impatient. The first photo shows the black as outline. It's hard to see in the photo but it is shiny and raised. This was a calendar, and it did not bleed through. In the second photo I used a book that had thinner paper, and there was some bleed through. I love how the glitter on the stems and the glaze on the twirls interact. I used 2 coats of the green glaze, and I'm not quite pleased with the results; I need more practice!  The blue, red, yellow and orange swirls are one coat of glaze. I just ordered another set with more colors!",Great for accents and outlines,True,10
B000S14PFM,4.0,"I use these for Bible journaling and they are awesome. They do not bleed at all, though they do make pages stick together sometimes. Overall, they are pretty awesome!",I use these for Bible journaling and they are awesome. They do not bleed at all,True,
B000S14PFM,5.0,This is the coolest thing. You use these pens and they create a raised effect. I used them for letter writing and addressing envelopes. Really fun product and the ink flows like a dream.,I love these pens they are so different,True,
B000S14PFM,4.0,If you want something different then these are your pens. The colors are good but I suggest that you use them in large areas as the ink comes out quickly. For more stand out glaze let the ink dry and put on a second coat.,Different kind of gel pen,True,
B000S14PFM,4.0,Having fun experimenting in card making. Add a new dememsion.,Four Stars,True,
B000S14PFM,5.0,Sakura quality shines through. Requires longer drying time and you can't apply multiple colors together without allowing sting time in between but the end product is worth it.,Love Sakura,True,
B000S14PFM,5.0,Can't go wrong with Sakura pens! Love 'em!,Love 'em!,True,
B000S14PFM,4.0,don't like as well as gel and glitter,ok,True,
B000S14PFM,5.0,I absolutely adore Sakura gelly roll pens they are always smooth and flowing. Will recommend to others.,Will recommend to others,True,
B000S14PFM,5.0,"I purchased the Bright Color 10 pack, in addition to the Basic Color 10 pack. The Bright set includes: clear #800, yellow #803, orange #805, red #819, pink #820, rose #821, purple #824, green #829, blue #836, and black #849.
I also purchased the 6 pack, which was mislabeled. I mistakenly thought I would be getting 3 additional colors, not included in the two sets, but they were all duplicates. That is okay with me, though, as these pens are so much fun to use! I am sure I will put the extras to use, or share them with my daughters, the budding artists:)
When you first receive your beloved Glaze pens, each one has a small plastic seal on the tip of the nib. Simply pull it off, and follow the instructions on the package. You may want to ""get your pen going"" on a scratch piece of paper, but I didn't really find this necessary. As stated, to achieve a raised effect, slowly move the pen, to get a nice ink flow. Don't rush! You can also achieve some really interesting, and pretty color combinations, by mixing inks, before they dry, which is about 20 seconds. To REALLY dry, I suggest a minute, if you have a heavy amount of ink.
I have thoroughly enjoyed the Glaze pens, and have just gotten started!!! They have so many applications! Coloring, Zentangles, drawing, mixed media, glass, ceramic, etc. Also, they look fabulous on both light, and dark, surfaces! I am so happy I bought these, along with the Souffls, to complete my Gelly Roll collection! Sakura makes some of my all time favorite pens, and the Glaze DO NOT disappoint! 10 stars! ",Glaze Bright Color 10 pack BLAST!!!,True,12
B000S14PFM,5.0,"I purchased the Basic Color 10 pack, in addition to the Bright Color 10 pack. The Basic set includes: clear #800, sepia #817, real red #822, turquoise #825, hunter green #830, deep green #834, royal blue #838, gray #844, black #849, and white #850.
I also purchased the 6 pack, which was mislabeled. I mistakenly thought I would be getting 3 additional colors, not included in the two sets, but they were all duplicates. That is okay with me, though, as these pens are so much fun to use! I am sure I will put the extras to use, or share them with my daughters, the budding artists:)
When you first receive your beloved Glaze pens, each one has a smal plastic seal on the tip of the nib. Simply pull it off, and follow the instructions on the package. You may want to ""get your pen going"" on a scratch piece of paper, but I didn't really find this necessary. As stated, to achieve a raised effect, slowly move the pen, to get a nice ink flow. Don't rush! You can also achieve some really interesting, and pretty color combinations, by mixing inks, before they dry, which is about 20 seconds. To REALLY dry, I suggest a minute, if you have a heavy amount of ink.
I have thoroughly enjoyed these pens, and have just gotten started!!! The Glaze have so many applications! Coloring, Zentangles, drawing, mixed media, glass, ceramic, etc. Also, they look fabulous on both light, and dark, surfaces! I am so happy I bought these, along with the Souffls, to complete my Gelly Roll collection! Sakura makes some of my all time favorite pens, and the Glaze DO NOT disappoint! 10 stars! ",Sakura Basic 10 pack BLAST!!!!,True,21
B000S14PFM,5.0,"I debated on these for a good month... I kept looking at them and finally decided to try them out and I am glad I did! I have never purchased anything Sakura that was not outstanding and the Glaze pens are no exception. They really do give a 3D effect when you color with them!!! You do need to give them about 10 minutes or so to dry but very well worth it! The first time I used them, I colored a section and they truly gave a ""puffed"" up appearance. After I was done with my picture I had an area that just did not blend in well with the vibrancy of the rest of the page I decided to go over the area with the clear pen and it gave that area a beautiful sheen which tied the picture together very well. I LOVE these pens!!!",GREAT FOR COLORING!!!!!!!,True,2
B000S14PFM,5.0,"I am loving these Sakura Glazes! Even if just coloring a picture, they really do bring a whole new dimension to any crafting project! The ink comes out very liberally, so I suggest pushing down once and then lift off of the paper in order to prevent using more ink than intended-it will cover a decent amount once releasing the ink. They come with a little protective cover on the tip-I leave mine on after every use-better for avoiding leaks(which I've never had a problem with Sakura!). So far so good! I highly recommend this for craft purposes of all types from simply coloring, to creating a unique piece of art sure to catch the eye of any being(well, except for dogs-they don't really care how many bright colors we silly humans use, ha)! Give them a try!",So many possible purposes!,True,11
B000S14PFM,5.0,"Love Sakura and although I have the set, these are not part of them. I purchased these and tried them out - WOW!!!! Talk about adding pop to your artwork! I use them for adult coloring and can't say enough good about them - I ended up purchasing the other set - Sakura is quite simply, the best; I don't see how you can go wrong with these!!!",Another FANTASTIC Sakura Pen!!!!,True,
B000S14PFM,5.0,"These pens put down a nice wet look. I find them pretty quick to dry, give them about 15 seconds or do. To test them I just tap lightly on top. There are two different packs with different colors in each.",Looks great!,True,
B000S14PFM,5.0,"love these pens, they are puffy and shiny and great colors, write smoothly, really fun addition to the art journaling page",love these pens,True,
B000S14PFM,5.0,They work great.,Five Stars,True,
B000S14PFM,5.0,They work great.,Five Stars,True,
B000S14PFM,5.0,I had to return these pens many of them didn't write and they were so cheaply made I could barely get the caps off.  I have ordered many gel pens these were the worst ones yet. I don't like to write bad reviews but I thought I should on these pens.  Could be I just got a bad batch because most of the reviews are really good.,NOT SO GOOD !,True,
B000S14PFM,5.0,Love them,Five Stars,True,
B000S14PFM,5.0,These are great,Five Stars,True,
B000S14PFM,5.0,Awesome,Five Stars,True,
B000S14PFM,4.0,Love my gelly rollers. Can't get much better than these smooth pens.,Four Stars,True,
B000S14PFM,5.0,grand daught loves these,recommended,True,
B000S14PFM,5.0,"I never have enough nice things to say about Sakura Of America. I'm a fan girl. I first hated Souffle and Glaze at first zbecause I'm an impatient person and didn't read directions.  OOPS.  MY BAD.

This basically dry embosses your artwork. No heating tool or stress. Great for craters. Will be going through clears and blacks like crazy! Amazing product. It's magic. You couldn't tell by the way it pops and that 3D detail is all Sakura. I feel like I this is an art supply necessity! Who would not be able to use these and make amazing things? No one. Sakura once again has made the best of the best.  Emboss edges. I wish I could share a photo demonstrating what I was able to do with these but at the moment don't see the option.

Google and YouTube it though. You won't be sorry.",I Cannot Exist Without This Product.,False,
B000S14PFM,4.0,"These are nice, but it's difficult for me to write slowly enough to get the raised, shiny letters, would not buy again because of this.",Nice product as long as you write slowly,True,
B000S14PFM,5.0,Great pens and awesome colors.,Fun pens,True,
B000S14PFM,5.0,These pens are awesome!  Have to get used to coloring a little tho and then let it sit to dry some.  I've smeared my coloring page that I'm working on several times because I get in too big of a hurry to move on to the next color.  Some of the pens start out a little dry but then you get more pooling as you use them a little bit.  Great 3D effect.,Great 3D pens,True,
B000S14PFM,5.0,"These pens match the quality I've come to expect from Gelly Roll.  The ink flows extremely smooth and comes out heavily enough that it almost feels like you're painting.  (However, they don't randomly spit out blobs or anything.)  They are bright colors but have a slight translucence that helps with the ""glaze"" appearance.  Thus, they look good on top of markers (and will look a little different over different colors) and they look great alone.  I've been using them in Angie Grace coloring books (detailed mandalas/patterns) and am loving the results!  They do take a little time to dry, so you'll have to be careful.  I usually finish a section at a time when I have a few free minutes and then let it dry in between.",Gorgeous colors and cool effect for coloring!,True,
B000S14PFM,4.0,"gel pens, great for paper crafting",great for paper,True,
B000S14PFM,5.0,"Beautiful colors , fun to use.",Five Stars,True,
B000S14PFM,5.0,"Love, Love, Love these Glaze Pens, and I love what they can do to a coloring project.",Highly recommend!,True,8
B000S14PFM,5.0,Fantastic Glaze Pens! I just love what they can do to a coloring picture! Highly recommend!,Highly recommend,True,2
B000S14PFM,5.0,"Great colors, smooth writing, leaves a shiny finish",Five Stars,True,
B000S14PFM,5.0,"Gelly roll is the best in Gel pens. The glaze pens are so fun, they are a little shiny when dried which gives a nice depth to the picture. I only wish they would substitute the white for a different color as there is very little opportunity to use it.",Gelly roll is the best in Gel pens,True,
B000S14PFM,4.0,"Would have liked a brighter green in set. But overall excellent . Used for adult coloring books. Colors slightly wider segments, not extra fine. Great fluidity, recomend to put a buffer ( blank page/ catdstock) sheet between pages these do generally bleed thru.",Needs a bright green,True,
B000S14PFM,5.0,These are such neat pens!,Five Stars,True,
B000S14PFM,5.0,Love these pens.,Five Stars,True,
B000S14PFM,5.0,Great colors! Love the glaze effect.,Five Stars,True,
B000S14PFM,5.0,Sakura makes the best gel pens around!  These are great,Five Stars,True,
B000S14PFM,5.0,ALL-TIME FAVORITE!!!,Five Stars,True,
B000S14PFM,4.0,"I really love these pens, but they use up ink quite quickly and are fairly expensive. I got these for the first time when on good discount and I was pleased with the quality for 10 bucks. I don't know if I would have paid the normal 20 for them. They keep a little height, like an embosser amount, but are not really that puffy. Cute for little touches on pictures though!","Fun pens, don't know if I would pay $20 for them though, good deal at $10",True,
B000S14PFM,4.0,"These are very vibrant and they write very smoothly. I wish they came in more colors. However, I don't really see them as being all that spectacular and probably will not use them that frequently. They're on the pricey end for the quality that they provide.",These are very vibrant and they write very smoothly. ...,False,
B000S14PFM,5.0,"I ordered a lot of gel pens this month, and I am using them all on my holiday cards and their envelopes. I love them ALL. However, the Glaze, Moonlight, and Stardust are my favorite. The Glaze are amazing on vellum.",I love them ALL,True,
B000S14PFM,5.0,"I can't get enough of these pens.  They are shiny and dimensional and mark on many types of surfaces.

The only trouble I've had with them is that they bleed into some types of paper, especially my Johanna Bosford coloring books.  I've solved this problem by spraying the pages with a workable fixative before coloring on them.",Super shiny and dimensional!,True,
B000S14PFM,4.0,A bit tricky at first - PRACTICE to see how the ink flows - can be sculpted like a pen nib or guided lightly as with a brush.  The missing star is for the premium cost and the one pen in the pack that stopped working (ink was backed up and could not be coaxed to flow again),PERFECT for medium-height inking/lettering,True,
B000S14PFM,5.0,"Okay let me begin by saying that Sakura gelly rolls are the best gel pens I have ever had the pleasure of owning. I use these pens on about every project that I get into... from coloring therapy to glass ornaments. I have bought several Blister Cards of different colors of Sakura gelly rolls and am glad for it. I replace these pens every other month because I go through some of the colors faster than others but thats okay.
If you are looking for brillant colors, great flow movement, and the price is right... these would be a product to buy.",Big Brand Lover,False,
B000S14PFM,5.0,I had never used these before and with a little practice it provides a beautiful effect.,... before and with a little practice it provides a beautiful effect.,True,
B000S14PFM,5.0,Love these glaze markers. Will be purchasing more.,Five Stars,True,
B000S14PFM,5.0,"I like the Sakura ""Glaze"" pens (think super-shiny glazed donuts).  When fully dry they have a shiny finish like patent leather.  The 38370 ""Bright Color"" set includes: yellow, orange, red, pink, rose, purple, green, medium blue, and black.  Each set also comes with one CLEAR pen, so you can add the shiny finish over any other color Gelly pen.

""Glaze"" pens are wetter than the regular Gelly Pens, so plan for at least 5 minutes drying time before using any other pen next to these spots.

The ""Glaze"" pen caps are the same color and glossy finish as the dried ink, but the end-plugs are all white.  The only improvement I would make is to have the end-plugs on each pen the same color/finish as the caps, to match the ink color",Super-Shiny finish!  :-),True,2
B000S14PFM,5.0,"I like the Sakura ""Glaze"" pens (think super-shiny glazed donuts).  When fully dry they have a shiny finish like patent leather.  The 38369 ""Basic Color"" set is mostly dark tones: sepia, turquoise, hunter green, royal blue, gray, real red, deep green, black, and white.  Each set also comes with one CLEAR pen, so you can add the shiny finish over any other color Gelly pen.

""Glaze"" pens are wetter than the regular Gelly Pens, so plan for at least 5 minutes drying time before using any other pen next to these spots.

The ""Glaze"" pen caps are the same color and glossy finish as the dried ink, but the end-plugs are all white.  The only improvement I would make is to have the end-plugs on each pen the same color/finish as the caps, to match the ink color",Cool super-shiny finish!!,True,3
B000S14PFM,5.0,Best gels ever,Fantastic pens,True,
B000S14PFM,5.0,Great colors and smooth writing,Great product,True,
B000S14PFM,5.0,"Nice change from regular gel pens.  These add a bit of shine, or glaze to coloring.  They do not leave a wet look, but rather a subtle slightly opaque, but clear coat over the color.",Nice addition to gel pen collection.,True,
B000S14PFM,5.0,"<div id=""video-block-R30P7LYHK87ZH"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/E1PmBXaqhsS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/91PCt2eAp%2BS.png"" class=""video-slate-img-url"">&nbsp;I received these pens for review, but all opinion are my own. I love these gel pens! They are great for embossing and are very elegant. You have to write very slow to achieve the raised look, but its worth it. These gel pens are very bright and pigmented. They work best on non-porous surfaces, but will still work well on paper and such.","Rich, Pigmented Pens!",False,3
B000S14PFM,5.0,"I bought both the Classic collection and the Glaze collection and they both have proven to be above my expectations. They dry quickly, write on almost any dry surface and best of all they are highly water resistant!",Sakura Gel Pens,True,
B000S14PFM,5.0,"I have another set of these on the way already.  I like shiney things and these pens on my work look wonderful !!! I should of got two the first time and I am sure I will buy the bigger glaze package many times.  The thought of running out of any color of these is scary LOL

if you were wanting to try out one set first ... get these :)",LOVE SAKURA,True,
B000S14PFM,5.0,I love the glaze sakura pens the most they are great :),Can't go wrong with Sakura,True,
B000S14PFM,5.0,These are beautiful! Love the texture & the colors are strikingly pigmented.,Five Stars,True,
B000S14PFM,5.0,THESE are the best coloring pens EVER!!,Five Stars,False,
B000S14PFM,5.0,These 3D pens have an effect that is #1 Grade A!!,Five Stars,False,
B000S14PFM,5.0,read any o my review of sakura pens. love them all,smooth writing beautiful colors,True,
B000S14PFM,5.0,love all the Sakura pens and these are some of the best.  Just remember that the take time to dry and give them at least 10 minutes or they will smear.  Colors are wonderful.,love all the Sakura pens and these are some of the best.  great colors;just remember to give them abut 10 minutes to dry,True,2
B000S14PFM,5.0,"These markers are so much fun. If you like dimensional effects, you'll love these.",Another product for craft fanatics that does what it claims,True,
B000S14PFM,4.0,Good,nice,True,
B000S14PFM,5.0,Worth every penny.  Nothing compares to Sakura gel pens.  They are so smooth and do not skip nor dry out.  I store mine on the side so the ink doesn't settle at one end.  I'm in the process of purchasing all gel pens Sakura sells - they are worth it.,Sakura gel pens lead the pack,True,
B000S14PFM,4.0,"Good quality, prompt delivery!",Four Stars,True,
B000S14PFM,4.0,the ink colors were a little watery for me; but still useful.,but still useful.,True,2
B000S14PFM,5.0,"Works great, dries to a great shine!",Five Stars,True,
B000S14PFM,5.0,luv the colors,Five Stars,True,
B000S14PFM,5.0,cool,Five Stars,True,
B000S14PFM,5.0,Love these to detail handcrafted cards.,Great for home or as a gift to a crafty person!,True,
B000S14PFM,5.0,Wonderfull product. Fast shipping.,Five Stars,True,2
B000S14PFM,5.0,"Purchased for my daughter, but ended up using them.  Vibrant colors. Produces a slightly raised, glossy surface.  Tends to warp the paper.  Purchased both packs to get more color variety.  Sometimes the tip gets clogged with dried ink and you have to scratch it off to get the ink to flow again.",Vibrant glossy texture,True,3
B000S14PFM,5.0,"Purchased these for my daughter, but ended up using them.  Produces a glossy, slightly raised surface.  Tends to warp the paper.  The tip gets clogged with dried ink, you have to scatch it off the tip to get the ink flowing again. Vibrant colors.",Vibrant glossy finish,True,
B000S14PFM,5.0,These are beautiful additions to your pen arsenal. Shinny and a little raised when finished they add an accent that is unique. The colors are pure and not transparent.,Excellent find,True,
B000S14PFM,5.0,"These pens are so cool. I love stamping and making cards. I found this and decided to give them a shot. The add a different element to my cards. I just love the effect!

I found the dependence ink easy and fast. It wouldn't be good to hold down the pen and leave it in one spot unless you want a large round circle on your image.

I did use it for detail work on some stamps. So long as I moved fast I got the effect I wanted, although thicker that I was hoping, it still look good and professional. It would be nice if they came in a finer tip, but I guess we can't have it all. I'm looking forward to getting the other glazed set soon.",These pens are so cool.,True,
B000S14PFM,4.0,The white pen is the main color that I wanted and it is sort of watery. The colors are pretty but I'd like to see just a hint more depth in terms of the colors.,The colors are pretty but I'd like to see just a hint more ...,True,
B000S14PFM,5.0,"Make note: There is no WHITE in this set. The white pen has Clear ink! The package also states the set includes a clear pen.
Great pens, the ink flows wonderfully, and is elevates, so it really stands up. I've used them on note cards and also to write on painted rocks. The colors are bright and colorful.",The white pen has CLEAR ink,True,
B000S14PFM,5.0,Beautiful and smooth! The color will not show up well on black paper but you can still see the shine and 3-D effect. They are gorgeous on white or light paper.,Smooth ink! Beautiful 3-D effect!,True,16
B000S14PFM,5.0,Colors are vibrant and the finish is shiny and hard. Glaze is the right term for these pens.,Five Stars,True,
B000S14PFM,5.0,"I have 4 drawers full of gel pens. I love using them all. However, NOTHING compares to these pens! THEY ARE FANTASTIC! They are unbelievable! I absolutely love them!!! The colors are very vibrant and they look as though they have been embossed! I HIGHLY recommend these pens to anyone who loves to scrapbook, creating cards, and paper crafts of any kind! These pens are perfect! I am going to buy the large set next!!!",UNBELIEVABLE PENS!,True,
B000S14PFM,5.0,"I have 4 drawers full of gel pens. I love using them all. However, NOTHING compares to these pens! THEY ARE FANTASTIC! They are unbelievable! I absolutely love them!!! The colors are very vibrant and they look as though they have been embossed! I HIGHLY recommend these pens to anyone who loves to scrapbook, creating cards, and paper crafts of any kind! These pens are perfect! I am going to buy the large set next!!!",UNBELIEVABLE PENS!!!,True,2
B000S14PFM,4.0,"I'm a huge fan of these! I use them for just about everything. Smooth, pretty. Only complaint is that some of the colors are the same.",I'm happy with them!,True,
B000S14PFM,5.0,Last a very long time!,Five Stars,True,
B000S14PFM,5.0,I scrapbook- nut said.,Five Stars,True,
B000S14PFM,5.0,"I love these pens! They are wonderful for art projects. I have used them for art journaling and to make home-made cards. I bet they would be great for any art or craft project. They take awhile to dry, so be careful not to put your hand in wet ink! (I do it all the time). Due to the nature of the ink, they smear really easy so I wouldn't recommend them for young children.

One dislike: I was expecting more colors.","Smooth, Bright, Everything I wanted!",True,
B000S14PFM,5.0,Very inky pens. Great colors. I store them tip side down since I don't use them that often.,Great colors,True,
B000S14PFM,5.0,I didn't know what to expect with these pens but they're really cool. They sort of dry raised up on the paper and create a cool effect. I like them more than I knew I would.,Cool pens,True,
